2015-01-21 09:53:41.323|MSG05|*** SENSe START ***|1
2015-01-21 09:53:41.340|MSG05|*** VHT_SENSe Version 7.6.10.2943 INITIALIZING USING CONFIGURATION C:\Program Files (x86)\Virtual Hold Technology\SENSe\SENSe Configuration.xml ***|5
2015-01-21 09:53:41.381|MSG05|*** VHT_SENSe Version 7.6.10.2943 INITIALIZATION SUCCEEDED ***|5
2015-01-21 09:53:41.469|MSG04|Server socket opened at 10.30.0.110:15240|5
2015-01-21 09:53:41.469|MSG04|TCPInterface.Server.Initialize: Listening on 10.30.0.110 port 15240|5
2015-01-21 09:53:44.389|MSG05|*** VHT_SENSe Version 7.6.10.2943 STARTUP INITIATED ***|1|6
2015-01-21 09:53:44.677|MSG01|WMIManager.IsComputerRunning: JUBILEE invoking WMI on JUBILEE does not support running Win32_PingStatus. Attempting ping using Get OS Information|1|6
2015-01-21 09:53:46.899|MSG01|ERROR: GetLogicalMemory exception. Input string was not in a correct format.|1|6
2015-01-21 09:53:49.096|MSG01|WARNING: Service VHT_QWatch_Client NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:49.096|MSG05|Program.IsRunning: Service 'QWatchClient' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:49.258|MSG01|WARNING: Service VHT_GlobalCall_IVR NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:49.259|MSG05|Program.IsRunning: Service 'IVR' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:49.427|MSG01|WARNING: Service VHT_Provider NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:49.427|MSG05|Program.IsRunning: Service 'ProviderService' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:49.594|MSG01|WARNING: Service VHT_OperationModeServer NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:49.595|MSG05|Program.IsRunning: Service 'OpModeService' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:49.762|MSG01|WARNING: Service VHT_Message_Bus NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:49.762|MSG05|Program.IsRunning: Service 'MessageBus' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:49.926|MSG01|WARNING: Service VHT_QueueManager NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:49.927|MSG05|Program.IsRunning: Service 'QueueManager' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:50.093|MSG01|WARNING: Service VHT_ReportWriter NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:50.094|MSG05|Program.IsRunning: Service 'ReportWriterService' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:50.097|MSG01|>>> Step.Execute: Step: Operation Message, Target 'SENSe Started', Index '1'|1|6
2015-01-21 09:53:50.097|MSG04|>>> SENDING MESSAGE 'SENSe Started'|1|6
2015-01-21 09:53:52.302|MSG01|BEGIN Sequence.Execute: 'Start'|1|6
2015-01-21 09:53:52.302|MSG01|>>> Step.Execute: Step: Operation Message, Target 'Start Initiated', Index '000001.0000'|1|6
2015-01-21 09:53:52.302|MSG04|>>> SENDING MESSAGE 'Start Initiated'|1|6
2015-01-21 09:53:52.302|MSG01|>>> Step.Execute: Step: Operation Start, Target 'MessageBus', Index '000002.0000'|1|6
2015-01-21 09:53:52.302|MSG04|>>> STARTING 'MessageBus'|1|6
2015-01-21 09:53:52.470|MSG01|WARNING: Service VHT_Message_Bus NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:52.470|MSG05|Program.IsRunning: Service 'MessageBus' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:52.470|MSG05|Program.Start: Starting Service 'MessageBus' on server JUBILEE, attempt 1|1|6
2015-01-21 09:53:52.472|MSG01|Stopping VHT_Message_Bus on JUBILEE...|1|6
2015-01-21 09:53:52.504|MSG01|... Service VHT_Message_Bus stopping in progress on JUBILEE|1|6
2015-01-21 09:53:52.505|MSG01|Starting service VHT_Message_Bus on JUBILEE...|1|6
2015-01-21 09:53:52.611|MSG01|... Service VHT_Message_Bus started on JUBILEE|1|6
2015-01-21 09:53:57.837|MSG05|Process VHT_Message_Bus.exe (PID 6540) RUNNING on JUBILEE|1|6
2015-01-21 09:53:57.838|MSG05|Service VHT_Message_Bus RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:53:57.839|MSG05|Program.IsRunning: Service 'MessageBus' on Server JUBILEE is Started|1|6
2015-01-21 09:53:57.839|MSG01|>>> Step.Execute: Step: Operation Start, Target 'ProviderService', Index '000003.0000'|1|6
2015-01-21 09:53:57.839|MSG04|>>> STARTING 'ProviderService'|1|6
2015-01-21 09:53:58.003|MSG01|WARNING: Service VHT_Provider NOT RUNNING on JUBILEE|1|6
2015-01-21 09:53:58.004|MSG05|Program.IsRunning: Service 'ProviderService' on Server JUBILEE is Stopped|1|6
2015-01-21 09:53:58.004|MSG05|Program.Start: Starting Service 'ProviderService' on server JUBILEE, attempt 1|1|6
2015-01-21 09:53:58.004|MSG01|Stopping VHT_Provider on JUBILEE...|1|6
2015-01-21 09:53:58.034|MSG01|... Service VHT_Provider stopping in progress on JUBILEE|1|6
2015-01-21 09:53:58.034|MSG01|Starting service VHT_Provider on JUBILEE...|1|6
2015-01-21 09:53:58.384|MSG01|... Service VHT_Provider started on JUBILEE|1|6
2015-01-21 09:54:03.603|MSG05|Process VHT_Provider_Service.exe (PID 11236) RUNNING on JUBILEE|1|6
2015-01-21 09:54:03.604|MSG05|Service VHT_Provider RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:54:03.605|MSG05|Program.IsRunning: Service 'ProviderService' on Server JUBILEE is Started|1|6
2015-01-21 09:54:03.605|MSG01|>>> Step.Execute: Step: Operation Start, Target 'OpModeService', Index '000004.0000'|1|6
2015-01-21 09:54:03.605|MSG04|>>> STARTING 'OpModeService'|1|6
2015-01-21 09:54:03.771|MSG01|WARNING: Service VHT_OperationModeServer NOT RUNNING on JUBILEE|1|6
2015-01-21 09:54:03.772|MSG05|Program.IsRunning: Service 'OpModeService' on Server JUBILEE is Stopped|1|6
2015-01-21 09:54:03.772|MSG05|Program.Start: Starting Service 'OpModeService' on server JUBILEE, attempt 1|1|6
2015-01-21 09:54:03.772|MSG01|Stopping VHT_OperationModeServer on JUBILEE...|1|6
2015-01-21 09:54:03.801|MSG01|... Service VHT_OperationModeServer stopping in progress on JUBILEE|1|6
2015-01-21 09:54:03.801|MSG01|Starting service VHT_OperationModeServer on JUBILEE...|1|6
2015-01-21 09:54:03.918|MSG01|... Service VHT_OperationModeServer started on JUBILEE|1|6
2015-01-21 09:54:09.141|MSG05|Process VHT_OperationModeService.exe (PID 7912) RUNNING on JUBILEE|1|6
2015-01-21 09:54:09.142|MSG05|Service VHT_OperationModeServer RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:54:09.143|MSG05|Program.IsRunning: Service 'OpModeService' on Server JUBILEE is Started|1|6
2015-01-21 09:54:09.143|MSG01|>>> Step.Execute: Step: Operation Start, Target 'ReportWriterService', Index '000005.0000'|1|6
2015-01-21 09:54:09.143|MSG04|>>> STARTING 'ReportWriterService'|1|6
2015-01-21 09:54:09.312|MSG01|WARNING: Service VHT_ReportWriter NOT RUNNING on JUBILEE|1|6
2015-01-21 09:54:09.313|MSG05|Program.IsRunning: Service 'ReportWriterService' on Server JUBILEE is Stopped|1|6
2015-01-21 09:54:09.313|MSG05|Program.Start: Starting Service 'ReportWriterService' on server JUBILEE, attempt 1|1|6
2015-01-21 09:54:09.313|MSG01|Stopping VHT_ReportWriter on JUBILEE...|1|6
2015-01-21 09:54:09.342|MSG01|... Service VHT_ReportWriter stopping in progress on JUBILEE|1|6
2015-01-21 09:54:09.342|MSG01|Starting service VHT_ReportWriter on JUBILEE...|1|6
2015-01-21 09:54:09.461|MSG01|... Service VHT_ReportWriter started on JUBILEE|1|6
2015-01-21 09:54:14.685|MSG05|Process VHT_ReportWriter.exe (PID 9568) RUNNING on JUBILEE|1|6
2015-01-21 09:54:14.686|MSG05|Service VHT_ReportWriter RUNNING on JUBILEE. State Running|1|6
2015-01-21 09:54:14.687|MSG05|Program.IsRunning: Service 'ReportWriterService' on Server JUBILEE is Started|1|6
2015-01-21 09:54:14.687|MSG01|>>> Step.Execute: Step: Operation Start, Target 'QueueManager', Index '000006.0000'|1|6
2015-01-21 09:54:14.687|MSG04|>>> STARTING 'QueueManager'|1|6
2015-01-21 09:54:14.854|MSG01|WARNING: Service VHT_QueueManager NOT RUNNING on JUBILEE|1|6
2015-01-21 09:54:14.854|MSG05|Program.IsRunning: Service 'QueueManager' on Server JUBILEE is Stopped|1|6
2015-01-21 09:54:14.854|MSG05|Program.Start: Starting Service 'QueueManager' on server JUBILEE, attempt 1|1|6
2015-01-21 09:54:14.854|MSG01|Stopping VHT_QueueManager on JUBILEE...|1|6
2015-01-21 09:54:14.884|MSG01|... Service VHT_QueueManager stopping in progress on JUBILEE|1|6
2015-01-21 09:54:14.884|MSG01|Starting service VHT_QueueManager on JUBILEE...|1|6
2015-01-21 09:54:15.237|MSG01|... Service VHT_QueueManager started on JUBILEE|1|6
2015-01-21 09:54:35.469|MSG05|Process VHT_QueueManager_Service.exe (PID 9828) RUNNING on JUBILEE|1|6
